gene_name,in_cluster,cluster
ZNF354C,True,ZNF53
ZNF384,True,ZNF384/2
ZNF41,True,ZNF41
ZNF410,True,ZNF410
ZNF423,True,ZNF423
ZNF524,True,ZNF524
ZNF713,True,ZNF713
ZNF740,True,ZIC/2
ZNF75A,True,RBPJ
ZNF76,True,ZNF143
ZNF784,True,ZNF784
ZNF8,True,ZNF85
ZNF85,True,ZNF85
ZSCAN4,True,ZSCAN4
ANHX,MEIS2,MIES
ARGFX,LHX2,HD/2
ARGFX,ISX,HD/2
ARID5B,PHOX2B,HD/8
ARID5B,FOXP1,FOX/4
ARNT2,ARNTL,Ebox/CACGTG/1
ATF6,CREB3L1,"CREB3/XBP1,Ebox/CACGTG/1"
ATF6,TFEB,Ebox/CACGTG/1
ATF6,CREB3,"CREB/ATF/2,CREB3/XBP1"
ATF6,MYC,Ebox/CACGTG/2
ATF6,ATF3,"AP1/1,CREB/ATF/1"
ATF6,BATF3,"BATF,CREB/ATF/2"
ATF6B,CREB3L1,"CREB3/XBP1,Ebox/CACGTG/1"
ATF6B,BATF3,"BATF,CREB/ATF/2"
ATF6B,GLIS1,GLIS
ATF6B,CREB3,"CREB/ATF/2,CREB3/XBP1"
ATOH7,MSC,Ebox/CAGCTG
ATOH7,ATOH1,"Ebox/CAGATGG,Ebox/CATATG"
BARX2,BSX,HD/2
BARX2,NKX6-2,HD/2
BBX,SOX14,"SOX/3,SOX/4,SOX/5"
BCL11A,NR1H4,"NR/16,NR/18"
BCL11A,RARG,"NR/12,NR/13,NR/16,NR/17"
BCL11A,IRF4,"IRF/1,IRF/2"
BCL11B,HNF4A,NR/1
BCL11B,RARG,"NR/12,NR/13,NR/16,NR/17"
BCL11B,PHOX2B,HD/8
BORCS8-MEF2B,MEF2B,MEF2
BPTF,FOXC1,"FOX/4,FOX/5,FOX/6"
CCDC169-SOHLH2,MYCN,Ebox/CACGTG/2
CDC5L,POU3F2,"POU/1,POU/2"
CDX4,CDX1,"HD/13,HD/18"
CDX4,HOXA10,"HD/17,HD/18"
CREB3L4,XBP1,"CREB/ATF/2,CREB3/XBP1"
CREB3L4,CREB3,"CREB/ATF/2,CREB3/XBP1"
CREB3L4,BATF3,"BATF,CREB/ATF/2"
CREB3L4,CREB3L1,"CREB3/XBP1,Ebox/CACGTG/1"
DMRT2,POU1F1,"POU/1,POU/2"
DMRTA1,DMRT3,DMRT3
DMRTA2,DMRT1,DMRT1
DMRTC2,DMRT3,DMRT3
DMRTC2,DMRT1,DMRT1
DMRTC2,ONECUT2,CUX/1
DMRTC2,SIX1,SIX/1
DNMT1,PAX6,PAX/1
ETV7,ETS1,"ETS/1,ETS/2"
ETV7,STAT3,STAT/2
FERD3L,ATOH1,"Ebox/CAGATGG,Ebox/CATATG"
FEZF2,FEZF1,FEZF1
FOXE1,FOXD2,"FOX/5,FOX/6"
FOXE1,FOXA3,FOX/4
FOXE3,FOXD2,"FOX/5,FOX/6"
FOXF1,FOXI1,"FOX/3,FOX/5,NFY"
FOXI2,FOXA3,FOX/4
FOXI3,FOXA3,FOX/4
FOXN2,PROX1,PROX1
FOXN2,MAX,"Ebox/CACGTG/1,Ebox/CACGTG/2"
FOXN2,POU2F2,"POU/1,POU/3"
FOXN3,FOXA1,FOX/4
FOXR1,FOXC1,"FOX/4,FOX/5,FOX/6"
FOXR2,FOXJ2,"FOX/3,FOX/5"
FOXR2,FOXJ3,"FOX/3,FOX/5"
GLI4,CREB3L1,"CREB3/XBP1,Ebox/CACGTG/1"
GTF3A,ETV5,"ETS/1,ETS/2"
HAND2,TCF3,"Ebox/CACCTG,Ebox/CAGATGG,HAND1"
HAND2,MESP1,Ebox/CACCTG
HDX,TLX1,NFI/1
HES6,HES5,Ebox/CACGTG/1
HKR1,WT1,KLF/SP/2
HOXA3,VAX2,HD/2
HOXA4,GSX2,HD/2
HOXA4,HOXA1,HD/2
HOXA6,HOXB2,HD/2
HOXA6,VENTX,"HD/2,HD/3"
HOXA6,HOXD8,HD/2
HOXA7,HOXD8,HD/2
HOXB1,MEOX1,HD/2
HOXB1,HOXB5,HD/2
HOXB1,BSX,HD/2
HOXB4,PDX1,"HD/16,HD/2"
HOXB4,HOXA1,HD/2
HOXB6,HOXD8,HD/2
HOXB7,PHOX2B,HD/8
HOXB7,KLF1,"KLF/SP/1,KLF/SP/2"
HOXB7,WT1,KLF/SP/2
HOXB7,HOXA2,HD/2
HOXB7,HOXA5,HD/2
HOXB7,HOXD8,HD/2
HOXB7,VENTX,"HD/2,HD/3"
HOXB7,EMX1,"HD/2,HD/7"
HOXB7,MEIS1,"HD/14,MIES"
HOXB8,HOXD8,HD/2
HOXB8,MEIS1,"HD/14,MIES"
HOXB9,HOXC9,HD/14
HOXB9,HOXD9,HD/18
HOXB9,HOXC10,"HD/17,HD/18"
HOXC4,PDX1,"HD/16,HD/2"
HOXC4,GSX2,HD/2
HOXC4,HOXA1,HD/2
HOXC8,HOXB5,HD/2
HOXC8,GSX1,HD/2
HOXC8,HOXD8,HD/2
HOXD1,LHX4,HD/2
HOXD1,HOXA1,HD/2
HOXD10,HOXD9,HD/18
HOXD10,HOXC10,"HD/17,HD/18"
HOXD10,HOXA10,"HD/17,HD/18"
HOXD4,HOXB5,HD/2
HOXD4,EMX1,"HD/2,HD/7"
HOXD4,HOXB2,HD/2
HOXD4,HOXA1,HD/2
HSF5,HSF2,HSF
HSF5,PHOX2B,HD/8
HSFX1,HSFY2,HSFY2
HSFX2,HSFY2,HSFY2
HSFY1,HSFY2,HSFY2
IKZF3,RBPJ,RBPJ
IRF6,IRF5,IRF/3
IRX1,TP53,P53-like/1
IRX1,PAX4,HD/2
IRX3,TP63,P53-like/1
IRX3,VSX2,HD/2
KLF10,SP3,"KLF/SP/1,KLF/SP/2"
KLF10,KLF13,KLF/SP/1
KLF10,KLF4,"KLF/SP/1,KLF/SP/2"
KLF10,KLF15,GC-tract
KLF11,KLF14,KLF/SP/1
KLF11,KLF16,KLF/SP/1
KLF11,SP8,KLF/SP/1
KLF17,SP4,"KLF/SP/1,KLF/SP/2"
KLF17,KLF5,KLF/SP/2
KLF17,KLF15,GC-tract
KLF2,KLF4,"KLF/SP/1,KLF/SP/2"
KLF7,KLF1,"KLF/SP/1,KLF/SP/2"
LCORL,MEF2C,MEF2
LHX1,DLX2,HD/2
LHX1,MSX1,"HD/2,HD/5"
LHX5,VAX2,HD/2
LHX5,BSX,HD/2
LHX5,HOXB2,HD/2
LIN28A,TFAP4,Ebox/CAGCTG
LIN28B,TFAP4,Ebox/CAGCTG
LIN28B,MAX,"Ebox/CACGTG/1,Ebox/CACGTG/2"
MAFA,NRL,MAF
MAFA,MAF,"AP1/2,MAF"
MAFA,MAFF,MAF
MESP2,TCF21,Ebox/CAGCTG
MESP2,MSGN1,Ebox/CAGATGG
MYNN,NKX6-1,HD/2
MYRF,GCM1,GCM
NEUROD4,NEUROD1,Ebox/CAGATGG
NEUROD6,NEUROD2,Ebox/CATATG
NEUROG3,NEUROG2,Ebox/CATATG
NFATC4,NFATC2,NFAT/1
NFATC4,NFATC3,NFAT/2
NFE2L1,NFE2,"AP1/1,AP1/2"
NFE2L1,JUND,"AP1/1,CREB/ATF/1,CREB/ATF/2"
NFE2L1,NKX2-5,"HD/22,HD/4"
NHLH2,NHLH1,Ebox/CAGCTG
